campaign_name_std,adset_name_std,ad_name_std,ad_id,effective_status,created_dt,impressions_std,clicks_std,spend_std,purchase_std,cpp_std,lpv_inc,custom_event_inc,inc_initiate_checkout,inc_purchase,ctr,connect_rate,bounce_rate,cost_per_checkout,cac,performance_score,pause_reason,is_top5,w_ctr,w_connect_rate,w_bounce_rate,w_cost_per_checkout,w_cac,run_at
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL267_LIDIASANTOSDEZ1_VAR1_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080830670,PAUSED,2025-12-08 13:30:07-03:00,30449,649,1045.5,0.0,inf,156.0,68.0,9.0,0.0,0.02131432887779566,0.6290322580645161,0.4358974358974359,116.16666666666667,0.0,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL288_PAMFRISONDEZ1_VAR5_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080840670,ACTIVE,2025-12-08 13:29:59-03:00,621022,5002,14179.96,43.0,329.76651162790694,2351.0,1968.0,525.0,43.0,0.008054465059208853,0.7305779987569919,0.8370905997447895,27.009447619047616,329.76651162790694,7.45,,True,0.6739910907699465,1.8447269657118837,1.246114877559657,0.19995628310308694,6.035210782855427,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL265_TACIARADEZ1_VAR2_NA_BR_VID_FB_Normal_ContentCreator_TACIARADEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080850670,PAUSED,2025-12-08 13:30:14-03:00,7299,284,61.64,1.0,61.64,161.0,19.0,8.0,1.0,0.038909439649267026,0.8895027624309392,0.11801242236024845,7.705,61.64,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL264_TACIARADEZ1_VAR1_NA_BR_VID_FB_Normal_ContentCreator_TACIARADEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080860670,PAUSED,2025-12-08 13:30:03-03:00,256064,16644,5849.97,5.0,1169.9940000000001,2061.0,430.0,132.0,5.0,0.06499937515621095,0.4767522553782096,0.20863658418243572,44.31795454545455,1169.9940000000001,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL268_LIDIASANTOSDEZ1_VAR2_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080870670,PAUSED,2025-12-08 13:30:14-03:00,11546,465,452.06,0.0,inf,69.0,34.0,4.0,0.0,0.04027368785726659,0.5655737704918032,0.4927536231884058,113.015,0.0,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL285_PAMFRISONDEZ1_VAR2_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080880670,PAUSED,2025-12-08 13:30:11-03:00,3,0,0.21,0.0,inf,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.21,0.0,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL266_TACIARADEZ1_VAR3_NA_BR_VID_FB_Normal_ContentCreator_TACIARADEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080890670,ACTIVE,2025-12-08 13:30:17-03:00,225496,1617,6025.04,14.0,430.36,822.0,397.0,110.0,14.0,0.0071708589065881435,0.6693811074918566,0.4829683698296837,54.77309090909091,430.36,5.76,,False,0.6739910907699465,1.8447269657118837,1.246114877559657,0.19995628310308694,6.035210782855427,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL286_PAMFRISONDEZ1_VAR3_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080900670,PAUSED,2025-12-08 13:30:11-03:00,92,5,2.52,0.0,inf,5.0,0.0,1.0,0.0,0.05434782608695652,1.0,0.0,2.52,0.0,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL269_LIDIASANTOSDEZ1_VAR3_NA_BR_VID_FB_Normal_ContentCreator_LIDIASANTOSDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080910670,PAUSED,2025-12-08 13:30:17-03:00,24,1,3.35,0.0,inf,0.0,0.0,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL287_PAMFRISONDEZ1_VAR4_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080930670,PAUSED,2025-12-08 13:30:07-03:00,29,0,1.1,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL284_PAMFRISONDEZ1_VAR1_NA_BR_VID_FB_Normal_ContentCreator_PAMFRISONDEZ_CreatorMade_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Influencer,120240999080940670,ACTIVE,2025-12-08 13:29:59-03:00,37595,1375,1587.61,6.0,264.60166666666663,297.0,89.0,30.0,6.0,0.03657401250166246,0.45692307692307693,0.2996632996632997,52.92033333333333,264.60166666666663,6.1,,False,0.6739910907699465,1.8447269657118837,1.246114877559657,0.19995628310308694,6.035210782855427,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,T225_VOY_WL_OWN_NOV25_ANTES-E-DEPOIS-IMG3_V2,120240999253890670,PAUSED,2025-12-08 13:35:03-03:00,709,4,38.47,0.0,inf,2.0,4.0,1.0,0.0,0.005641748942172073,0.6666666666666666,2.0,38.47,0.0,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,WL135_NATHALIE_VAR1_NA_BR_IMG_FB_Normal_NA_NoActor_In-house_Informative_NA_Informative_NA_NA_ImprovedHealth_UGC-Anchor,120240999253900670,PAUSED,2025-12-08 13:34:41-03:00,22,0,0.62,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,T221_VOY_WL_OWN_NOV25_ANTES-E-DEPOIS-IMG4_V1,120240999253910670,PAUSED,2025-12-08 13:34:56-03:00,11,0,0.14,0.0,inf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,False,,,,,,2026-01-06T00-05-17Z
Voy_WL_Acquisition-ASC,WL_Testing_25_65+_W&M_Broad_SUL-SUDESTE_DEZ1,T232_VOY_WL_OWN_NOV25_ANTES-E-DEPOIS-IMG4_V4,120240999253920670,PAUSED,2025-12-08 13:34:25-03:00,1161,5,27.83,0.0,inf,3.0,12.0,1.0,0.0,0.004306632213608958,1.0,4.0,27.83,0.0,,,False,,,,,,2026-01-06T00-05-17Z
